elec_date,county,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/3/2020,"ADAIR","ADAIR COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,1,"DONALD J. TRUMP | MICHAEL R. PENCE",REP,216,647,4722,5585,,
11/3/2020,"ADAIR","ADAIR COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,2,"JO JORGENSEN | JEREMY SPIKE COHEN",LIB,7,8,47,62,,
11/3/2020,"ADAIR","ADAIR COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,3,"JOSEPH R. BIDEN | KAMALA D. HARRIS",DEM,197,205,985,1387,,
11/3/2020,"ADAIR","ADAIR COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,4,"JADE SIMMONS | CLAUDELIAH J. ROZE",IND,1,2,19,22,,
11/3/2020,"ADAIR","ADAIR COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,5,"KANYE WEST | MICHELLE TIDBALL",IND,3,4,30,37,,
11/3/2020,"ADAIR","ADAIR COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,6,"BROCK PIERCE | KARLA BALLARD",IND,2,0,13,15,,
11/3/2020,"ADAIR","ADAIR COUNTY",10002,"FOR CORPORATION COMMISSIONER",,17,17,1,"TODD HIETT",REP,254,650,4720,5624,,
11/3/2020,"ADAIR","ADAIR COUNTY",10002,"FOR CORPORATION COMMISSIONER",,17,17,2,"TODD HAGOPIAN",LIB,144,168,781,1093,,
11/3/2020,"ADAIR","ADAIR COUNTY",10003,"FOR UNITED STATES SENATOR",,17,17,1,"JIM INHOFE",REP,210,597,4327,5134,,
11/3/2020,"ADAIR","ADAIR COUNTY",10003,"FOR UNITED STATES SENATOR",,17,17,2,"ROBERT MURPHY",LIB,12,17,109,138,,
11/3/2020,"ADAIR","ADAIR COUNTY",10003,"FOR UNITED STATES SENATOR",,17,17,3,"ABBY BROYLES",DEM,195,224,1196,1615,,
11/3/2020,"ADAIR","ADAIR COUNTY",10003,"FOR UNITED STATES SENATOR",,17,17,4,"JOAN FARR",IND,6,17,101,124,,
11/3/2020,"ADAIR","ADAIR COUNTY",10003,"FOR UNITED STATES SENATOR",,17,17,5,"A. D. NESBIT",IND,2,6,55,63,,
11/3/2020,"ADAIR","ADAIR COUNTY",10005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,17,17,1,"MARKWAYNE MULLIN",REP,220,620,4648,5488,,
11/3/2020,"ADAIR","ADAIR COUNTY",10005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,17,17,2,"RICHIE CASTALDO",LIB,19,24,188,231,,
11/3/2020,"ADAIR","ADAIR COUNTY",10005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,17,17,3,"DANYELL LANIER",DEM,188,214,964,1366,,
11/3/2020,"ADAIR","ADAIR COUNTY",10010,"FOR STATE SENATOR DISTRICT 3",,17,17,1,"BLAKE COWBOY STEPHENS",REP,237,647,4713,5597,,
11/3/2020,"ADAIR","ADAIR COUNTY",10010,"FOR STATE SENATOR DISTRICT 3",,17,17,2,"DYLLON FITE",DEM,184,213,1054,1451,,
11/3/2020,"ADAIR","ADAIR COUNTY",10212,"FOR COUNTY SHERIFF",,17,17,1,"JOHN R. BERRY",REP,140,367,2664,3171,ADAIR
11/3/2020,"ADAIR","ADAIR COUNTY",10212,"FOR COUNTY SHERIFF",,17,17,2,"JASON RITCHIE",IND,270,476,3038,3784,ADAIR
11/3/2020,"ADAIR","ADAIR COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,17,17,1,"YES",,245,506,3547,4298,,
11/3/2020,"ADAIR","ADAIR COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,17,17,2,"NO",,147,264,1716,2127,,
11/3/2020,"ADAIR","ADAIR COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,17,17,1,"YES",,255,488,3361,4104,,
11/3/2020,"ADAIR","ADAIR COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,17,17,2,"NO",,139,288,1932,2359,,
11/3/2020,"ADAIR","ADAIR COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,17,17,1,"YES",,229,499,3451,4179,,
11/3/2020,"ADAIR","ADAIR COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,17,17,2,"NO",,157,273,1778,2208,,
11/3/2020,"ADAIR","ADAIR COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,17,17,1,"YES",,233,499,3445,4177,,
11/3/2020,"ADAIR","ADAIR COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,17,17,2,"NO",,152,268,1779,2199,,
11/3/2020,"ADAIR","ADAIR COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,17,17,1,"YES",,228,492,3387,4107,,
11/3/2020,"ADAIR","ADAIR COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,17,17,2,"NO",,158,278,1823,2259,,
11/3/2020,"ADAIR","ADAIR COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,17,17,1,"YES",,244,464,3131,3839,,
11/3/2020,"ADAIR","ADAIR COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,17,17,2,"NO",,140,306,2080,2526,,
11/3/2020,"ADAIR","ADAIR COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,17,17,1,"YES",,251,472,3156,3879,,
11/3/2020,"ADAIR","ADAIR COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,17,17,2,"NO",,130,295,2043,2468,,
11/3/2020,"ADAIR","ADAIR COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,17,17,1,"YES",,229,459,3133,3821,,
11/3/2020,"ADAIR","ADAIR COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,17,17,2,"NO",,153,310,2084,2547,,
11/3/2020,"ADAIR","ADAIR COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,17,17,1,"FOR THE PROPOSAL - YES",,221,241,1372,1834,,
11/3/2020,"ADAIR","ADAIR COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,17,17,2,"AGAINST THE PROPOSAL - NO",,192,603,4246,5041,,
11/3/2020,"ADAIR","ADAIR COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,17,17,1,"FOR THE PROPOSAL - YES",,172,314,1963,2449,,
11/3/2020,"ADAIR","ADAIR COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,17,17,2,"AGAINST THE PROPOSAL - NO",,238,525,3563,4326,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,8,8,1,"DONALD J. TRUMP | MICHAEL R. PENCE",REP,87,344,1547,1978,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,8,8,2,"JO JORGENSEN | JEREMY SPIKE COHEN",LIB,6,2,23,31,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,8,8,3,"JOSEPH R. BIDEN | KAMALA D. HARRIS",DEM,40,51,141,232,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,8,8,4,"JADE SIMMONS | CLAUDELIAH J. ROZE",IND,0,1,5,6,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,8,8,5,"KANYE WEST | MICHELLE TIDBALL",IND,0,0,9,9,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,8,8,6,"BROCK PIERCE | KARLA BALLARD",IND,1,0,5,6,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10002,"FOR CORPORATION COMMISSIONER",,8,8,1,"TODD HIETT",REP,100,358,1567,2025,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10002,"FOR CORPORATION COMMISSIONER",,8,8,2,"TODD HAGOPIAN",LIB,26,26,127,179,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10003,"FOR UNITED STATES SENATOR",,8,8,1,"JIM INHOFE",REP,87,325,1487,1899,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10003,"FOR UNITED STATES SENATOR",,8,8,2,"ROBERT MURPHY",LIB,2,7,37,46,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10003,"FOR UNITED STATES SENATOR",,8,8,3,"ABBY BROYLES",DEM,38,59,165,262,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10003,"FOR UNITED STATES SENATOR",,8,8,4,"JOAN FARR",IND,6,5,27,38,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10003,"FOR UNITED STATES SENATOR",,8,8,5,"A. D. NESBIT",IND,0,2,11,13,,
