ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:26:35 PM,1,16996,0.00723484337347346,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:26:35 PM,1,1327398,0.565045694531768,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:26:35 PM,1,40815,0.017374095804208,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:26:35 PM,1,11627,0.00494937184651541,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:26:35 PM,1,4906,0.00208838206579553,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:26:35 PM,1,947445,0.40330761237824,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:26:35 PM,1,2537,0.001104333147319,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:26:35 PM,1,1308652,0.56964437599736,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:26:35 PM,1,41960,0.0182648083805697,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:26:35 PM,1,41492,0.0180610922146472,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:26:35 PM,1,902673,0.392925390260104,662/1333,
100042999,"US REPRESENTATIVE, 1ST DISTRICT","","","","US REPRESENTATIVE, 1ST DISTRICT",3,,9901,"Write-in",11/10/2020 9:26:35 PM,1,928,0.00203574397887038,67/245,
100042999,"US REPRESENTATIVE, 1ST DISTRICT","DEMOCRAT, WORKING FAMILIES","","","US REPRESENTATIVE, 1ST DISTRICT",3,,300024797,"SUZANNE BONAMICI",11/10/2020 9:26:35 PM,1,294580,0.646217091913402,67/245,
100042999,"US REPRESENTATIVE, 1ST DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 1ST DISTRICT",3,,100069241,"CHRISTOPHER C CHRISTENSEN",11/10/2020 9:26:35 PM,1,160345,0.351747164107728,67/245,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","","","","US REPRESENTATIVE, 2ND DISTRICT",3,,9901,"Write-in",11/10/2020 9:26:35 PM,1,665,0.0014776300147763,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","DEMOCRAT","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066710,"ALEX SPENSER",11/10/2020 9:26:35 PM,1,165600,0.367963203679632,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","LIBERTARIAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100072720,"ROBERT WERCH",11/10/2020 9:26:35 PM,1,13644,0.0303169683031697,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066698,"CLIFF BENTZ",11/10/2020 9:26:35 PM,1,270136,0.600242198002422,157/381,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","","","","US REPRESENTATIVE, 3RD DISTRICT",4,,9901,"Write-in",11/10/2020 9:26:35 PM,1,694,0.00148420624906435,136/136,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","DEMOCRAT, WORKING FAMILIES","","","US REPRESENTATIVE, 3RD DISTRICT",4,,100067959,"EARL BLUMENAUER",11/10/2020 9:26:35 PM,1,341923,0.731245321756239,136/136,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","LIBERTARIAN","","","US REPRESENTATIVE, 3RD DISTRICT",4,,100072721,"JOSH SOLOMON",11/10/2020 9:26:35 PM,1,6773,0.0144849119955517,136/136,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","PACIFIC GREEN","","","US REPRESENTATIVE, 3RD DISTRICT",4,,100072490,"ALEX C DIBLASI",11/10/2020 9:26:35 PM,1,8769,0.018753608930901,136/136,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 3RD DISTRICT",4,,100068689,"JOANNA HARBOUR",11/10/2020 9:26:35 PM,1,109431,0.234031951068244,136/136,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","","","","US REPRESENTATIVE, 4TH DISTRICT",4,,9901,"Write-in",11/10/2020 9:26:35 PM,1,538,0.0011603455155234,64/285,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","US REPRESENTATIVE, 4TH DISTRICT",4,,100066717,"PETER DEFAZIO",11/10/2020 9:26:35 PM,1,239244,0.515995729583419,64/285,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","PACIFIC GREEN","","","US REPRESENTATIVE, 4TH DISTRICT",4,,100072491,"DANIEL HOFFAY",11/10/2020 9:26:35 PM,1,9947,0.0214534513808759,64/285,
