




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Appling                       9242                          7067                          76.47%
Atkinson                      3695                          2623                          70.99%
Bacon                         5385                          4034                          74.91%
Baker                         1974                          1453                          73.61%
Baldwin                       21052                         16288                         77.37%
Banks                         8581                          7034                          81.97%
Barrow                        37213                         29254                         78.61%
Bartow                        52253                         39855                         76.27%
Ben Hill                      7899                          5994                          75.88%
Berrien                       10920                         6636                          60.77%
Bibb                          86854                         63152                         72.71%
Bleckley                      6162                          5018                          81.43%
Brantley                      8304                          6341                          76.36%
Brooks                        8642                          6390                          73.94%
Bryan                         20151                         15317                         76.01%
Bulloch                       34926                         25695                         73.57%
Burke                         12481                         9458                          75.78%
Butts                         12556                         9587                          76.35%
Calhoun                       2694                          2043                          75.84%
Camden                        25319                         19135                         75.58%
Candler                       4671                          3802                          81.40%
Carroll                       57251                         44584                         77.87%
Catoosa                       34831                         27041                         77.63%
Charlton                      5154                          4062                          78.81%
Chatham                       155339                        113555                        73.10%
Chattahoochee                 4247                          1409                          33.18%
Chattooga                     11099                         8373                          75.44%
Cherokee                      138809                        113180                        81.54%
Clarke                        60411                         45688                         75.63%
Clay                          1731                          1285                          74.23%
Clayton                       134164                        93843                         69.95%
Clinch                        3499                          2477                          70.79%
Cobb                          424176                        335466                        79.09%
Coffee                        18897                         14083                         74.53%
Colquitt                      18468                         13745                         74.43%
Columbia                      81492                         65428                         80.29%
Cook                          8037                          6118                          76.12%
Coweta                        78788                         62421                         79.23%
Crawford                      6525                          5217                          79.95%
Crisp                         10228                         7586                          74.17%
Dade                          8588                          6402                          74.55%
Dawson                        14591                         11860                         81.28%
Decatur                       13821                         10355                         74.92%
DeKalb                        419871                        319285                        76.04%
Dodge                         11169                         7062                          63.23%
Dooly                         5295                          3888                          73.43%
Dougherty                     49074                         34446                         70.19%
Douglas                       74636                         58300                         78.11%
Early                         6471                          4832                          74.67%
Echols                        1579                          1184                          74.98%
Effingham                     30029                         23682                         78.86%
Elbert                        10200                         8073                          79.15%
Emanuel                       10534                         7938                          75.36%
Evans                         4684                          3659                          78.12%
Fannin                        14684                         11937                         81.29%
Fayette                       73831                         61766                         83.66%
Floyd                         45654                         35017                         76.70%
Forsyth                       119848                        99323                         82.87%
Franklin                      13086                         8584                          65.60%
Fulton                        590362                        441262                        74.74%
Gilmer                        15748                         12896                         81.89%
Glascock                      1733                          1403                          80.96%
Glynn                         44972                         34583                         76.90%
Gordon                        24934                         19129                         76.72%
Grady                         12061                         9309                          77.18%
Greene                        10895                         8987                          82.49%
Gwinnett                      430935                        332149                        77.08%
Habersham                     20380                         16379                         80.37%
Hall                          90807                         71383                         78.61%
Hancock                       5407                          3604                          66.65%
Haralson                      14488                         11482                         79.25%
Harris                        20235                         16667                         82.37%
Hart                          12862                         10209                         79.37%
Heard                         5555                          4258                          76.65%
Henry                         125837                        99666                         79.20%
Houston                       79199                         60565                         76.47%
Irwin                         4963                          3693                          74.41%
Jackson                       33719                         27491                         81.53%
Jasper                        7671                          6082                          79.29%
Jeff Davis                    6784                          5130                          75.62%
Jefferson                     9256                          7007                          75.70%
Jenkins                       4258                          3082                          72.38%
Johnson                       4702                          3711                          78.92%
Jones                         15398                         12647                         82.13%
Lamar                         9786                          7671                          78.39%
Lanier                        4104                          2897                          70.59%
Laurens                       25051                         19685                         78.58%
Lee                           17841                         14290                         80.10%
Liberty                       24858                         16356                         65.80%
Lincoln                       5949                          4144                          69.66%
Long                          6052                          4158                          68.70%
Lowndes                       53910                         38204                         70.87%
Lumpkin                       15618                         12560                         80.42%
Macon                         6012                          4321                          71.87%
Madison                       15118                         12114                         80.13%
Marion                        4224                          3215                          76.11%
McDuffie                      11967                         9355                          78.17%
McIntosh                      9126                          5980                          65.53%
Meriwether                    12166                         9283                          76.30%
Miller                        3461                          2563                          74.05%
Mitchell                      10761                         7930                          73.69%
Monroe                        16098                         12815                         79.61%
Montgomery                    4681                          3595                          76.80%
Morgan                        11471                         9582                          83.53%
Murray                        16466                         12555                         76.25%
Muscogee                      100700                        69817                         69.33%
Newton                        58302                         44357                         76.08%
Oconee                        24058                         20476                         85.11%
Oglethorpe                    8087                          6755                          83.53%
Paulding                      82336                         65636                         79.72%
Peach                         14630                         10848                         74.15%
Pickens                       17319                         14174                         81.84%
Pierce                        9283                          7360                          79.28%
Pike                          10620                         8793                          82.80%
Polk                          20268                         14323                         70.67%
Pulaski                       4720                          3631                          76.93%
Putnam                        13964                         9573                          68.55%
Quitman                       1431                          1053                          73.58%
Rabun                         9884                          8110                          82.05%
Randolph                      3914                          2922                          74.66%
Richmond                      105642                        76304                         72.23%
Rockdale                      50003                         38229                         76.45%
Schley                        2364                          1929                          81.60%
Screven                       7512                          5756                          76.62%
Seminole                      4905                          3619                          73.78%
Spalding                      34832                         25914                         74.40%
Stephens                      13132                         9932                          75.63%
Stewart                       2917                          2084                          71.44%
Sumter                        15181                         11101                         73.12%
Talbot                        4138                          3278                          79.22%
Taliaferro                    1157                          904                           78.13%
Tattnall                      9299                          6986                          75.13%
Taylor                        4372                          3432                          78.50%
Telfair                       5029                          3827                          76.10%
Terrell                       5871                          4233                          72.10%
Thomas                        24693                         18986                         76.89%
Tift                          19040                         14334                         75.28%
Toombs                        15146                         9206                          60.78%
Towns                         8608                          6858                          79.67%
Treutlen                      3773                          2729                          72.33%
Troup                         35513                         26334                         74.15%
Turner                        4552                          3414                          75.00%
Twiggs                        5291                          4089                          77.28%
Union                         14370                         12230                         85.11%
Upson                         14058                         11032                         78.47%
Walker                        32951                         24526                         74.43%
Walton                        51318                         40986                         79.87%
Ware                          16254                         12282                         75.56%
Warren                        3105                          2357                          75.91%
Washington                    11002                         8531                          77.54%
Wayne                         13496                         10489                         77.72%
Webster                       1433                          1124                          78.44%
Wheeler                       2705                          2135                          78.93%
White                         14669                         11964                         81.56%
Whitfield                     39588                         30877                         78.00%
Wilcox                        3934                          3003                          76.33%
Wilkes                        5826                          4520                          77.58%
Wilkinson                     5481                          4317                          78.76%
Worth                         10724                         8349                          77.85%
Total:                        5443046                       4165405                       76.53%

                                                                                                                                                                                                                                 President of the United States
                                                            DONALD J. TRUMP (REP)                                                                                                                                 HILLARY CLINTON (DEM)                                                                                                                                 GARY JOHNSON (LIB)                                                                                                                                    
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Appling                       9242                          2948                          362                           2182                          2                             5494                          677                           159                           598                           0                             1434                          41                            9                             27                            0                             77                            7005                          
Atkinson                      3695                          843                           58                            972                           5                             1878                          367                           30                            299                           1                             697                           24                            1                             10                            0                             35                            2610                          
Bacon                         5385                          1142                          134                           2082                          6                             3364                          268                           37                            303                           0                             608                           21                            4                             22                            0                             47                            4019                          
Baker                         1974                          396                           76                            302                           1                             775                           319                           69                            261                           1                             650                           11                            1                             3                             0                             15                            1440                          
Baldwin                       21052                         2929                          330                           4433                          5                             7697                          3143                          724                           4099                          4                             7970                          192                           27                            200                           0                             419                           16086                         
Banks                         8581                          3079                          195                           2858                          2                             6134                          352                           40                            292                           0                             684                           77                            6                             49                            0                             132                           6950                          
Barrow                        37213                         8881                          755                           11471                         1                             21108                         2832                          371                           3377                          0                             6580                          656                           46                            441                           0                             1143                          28831                         
Bartow                        52253                         15525                         1038                          13327                         21                            29911                         4051                          440                           3715                          6                             8212                          788                           44                            349                           2                             1183                          39306                         
Ben Hill                      7899                          907                           115                           2712                          5                             3739                          670                           117                           1311                          3                             2101                          33                            11                            47                            0                             91                            5931                          
Berrien                       10920                         2351                          267                           2790                          14                            5422                          508                           90                            444                           5                             1047                          55                            13                            46                            1                             115                           6584                          
Bibb                          86854                         12591                         1413                          9998                          41                            24043                         16118                         2241                          18265                         163                           36787                         903                           85                            452                           7                             1447                          62277                         
Bleckley                      6162                          1505                          136                           2076                          2                             3719                          479                           113                           502                           7                             1101                          56                            1                             66                            0                             123                           4943                          
Brantley                      8304                          2510                          200                           2851                          6                             5567                          304                           42                            273                           0                             619                           66                            5                             34                            1                             106                           6292                          
Brooks                        8642                          1769                          156                           1754                          22                            3701                          1041                          460                           1003                          24                            2528                          43                            5                             37                            4                             89                            6318                          
Bryan                         20151                         3899                          286                           6336                          8                             10529                         1465                          235                           2312                          2                             4014                          256                           30                            256                           0                             542                           15085                         
Bulloch                       34926                         7334                          591                           7142                          30                            15097                         3961                          430                           4851                          19                            9261                          458                           27                            405                           0                             890                           25248                         
Burke                         12481                         2254                          256                           1981                          0                             4491                          2484                          654                           1593                          0                             4731                          76                            12                            41                            0                             129                           9351                          
Butts                         12556                         1769                          186                           4762                          0                             6717                          814                           88                            1664                          0                             2566                          70                            6                             118                           0                             194                           9477                          
Calhoun                       2694                          445                           44                            340                           1                             830                           751                           106                           321                           1                             1179                          13                            0                             3                             0                             16                            2025                          
Camden                        25319                         4876                          608                           6813                          13                            12310                         2092                          466                           3364                          8                             5930                          331                           48                            250                           0                             629                           18869                         
Candler                       4671                          567                           86                            2008                          3                             2664                          380                           46                            597                           3                             1026                          35                            5                             33                            0                             73                            3763                          
Carroll                       57251                         13018                         901                           16070                         40                            30029                         4983                          543                           6898                          40                            12464                         741                           35                            563                           7                             1346                          43839                         
Catoosa                       34831                         6827                          460                           13573                         16                            20876                         1650                          182                           2937                          2                             4771                          461                           32                            388                           0                             881                           26528                         
Charlton                      5154                          1220                          158                           1567                          6                             2951                          434                           55                            513                           2                             1004                          24                            7                             23                            0                             54                            4009                          
Chatham                       155339                        30267                         1915                          13462                         44                            45688                         37801                         3116                          21310                         63                            62290                         2704                          125                           669                           5                             3503                          111481                        
Chattahoochee                 4247                          420                           34                            292                           5                             751                           280                           29                            284                           1                             594                           27                            2                             16                            0                             45                            1390                          
Chattooga                     11099                         3034                          144                           3279                          5                             6462                          703                           82                            827                           1                             1613                          102                           6                             69                            0                             177                           8252                          
Cherokee                      138809                        31540                         3546                          45545                         18                            80649                         10241                         1574                          13410                         6                             25231                         2772                          245                           1996                          2                             5015                          110895                        
Clarke                        60411                         5678                          939                           6079                          21                            12717                         11898                         1648                          15991                         66                            29603                         1110                          74                            832                           3                             2019                          44339                         
Clay                          1731                          162                           36                            366                           2                             566                           366                           69                            261                           1                             697                           6                             0                             2                             0                             8                             1271                          
Clayton                       134164                        4119                          889                           7621                          16                            12645                         28567                         2179                          47341                         133                           78220                         794                           54                            794                           5                             1647                          92512                         
Clinch                        3499                          680                           56                            988                           3                             1727                          332                           30                            323                           1                             686                           16                            3                             15                            0                             34                            2447                          
Cobb                          424176                        79118                         12461                         61089                         244                           152912                        75036                         10124                         74472                         489                           160121                        9802                          934                           3693                          37                            14466                         327499                        
Coffee                        18897                         3051                          295                           6242                          0                             9588                          1642                          168                           2284                          0                             4094                          90                            17                            126                           0                             233                           13915                         
Colquitt                      18468                         4968                          260                           4667                          3                             9898                          1724                          176                           1561                          2                             3463                          127                           12                            101                           0                             240                           13601                         
Columbia                      81492                         17194                         1802                          24070                         19                            43085                         7328                          1271                          10279                         9                             18887                         1285                          132                           852                           1                             2270                          64242                         
Cook                          8037                          1594                          149                           2433                          0                             4176                          910                           68                            775                           0                             1753                          46                            6                             60                            0                             112                           6041                          
Coweta                        78788                         18778                         1892                          21851                         12                            42533                         7282                          883                           8411                          7                             16583                         1257                          117                           858                           3                             2235                          61351                         
Crawford                      6525                          1615                          153                           1864                          3                             3635                          598                           95                            726                           2                             1421                          54                            4                             48                            0                             106                           5162                          
Crisp                         10228                         1354                          205                           2981                          9                             4549                          1017                          134                           1684                          2                             2837                          52                            10                            64                            0                             126                           7512                          
Dade                          8588                          2547                          115                           2385                          4                             5051                          434                           54                            477                           0                             965                           145                           7                             74                            0                             226                           6242                          
Dawson                        14591                         2423                          422                           7039                          16                            9900                          379                           107                           958                           4                             1448                          157                           14                            185                           0                             356                           11704                         
Decatur                       13821                         2242                          284                           3483                          11                            6020                          1798                          240                           2066                          20                            4124                          64                            8                             53                            1                             126                           10270                         
DeKalb                        419871                        22867                         3886                          24669                         46                            51468                         90473                         11786                         148684                        427                           251370                        5335                          438                           3875                          18                            9666                          312504                        
Dodge                         11169                         2732                          235                           2054                          0                             5021                          940                           97                            800                           2                             1839                          74                            9                             55                            0                             138                           6998                          
Dooly                         5295                          815                           68                            1059                          9                             1951                          1026                          109                           728                           9                             1872                          19                            4                             12                            1                             36                            3859                          
