ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
11/8/2016	REP	Republican	PRE	President of the United States	ALA	Alachua			63	63	Trump	Donald	J.	46834
11/8/2016	REP	Republican	PRE	President of the United States	BAK	Baker			9	9	Trump	Donald	J.	10294
11/8/2016	REP	Republican	PRE	President of the United States	BAY	Bay			44	44	Trump	Donald	J.	62194
11/8/2016	REP	Republican	PRE	President of the United States	BRA	Bradford			14	14	Trump	Donald	J.	8913
11/8/2016	REP	Republican	PRE	President of the United States	BRE	Brevard			170	170	Trump	Donald	J.	181848
11/8/2016	REP	Republican	PRE	President of the United States	BRO	Broward			577	577	Trump	Donald	J.	260951
11/8/2016	REP	Republican	PRE	President of the United States	CAL	Calhoun			11	11	Trump	Donald	J.	4655
11/8/2016	REP	Republican	PRE	President of the United States	CHA	Charlotte			67	67	Trump	Donald	J.	60218
11/8/2016	REP	Republican	PRE	President of the United States	CIT	Citrus			31	31	Trump	Donald	J.	54456
11/8/2016	REP	Republican	PRE	President of the United States	CLA	Clay			47	47	Trump	Donald	J.	74963
11/8/2016	REP	Republican	PRE	President of the United States	CLL	Collier			60	60	Trump	Donald	J.	105423
11/8/2016	REP	Republican	PRE	President of the United States	CLM	Columbia			22	22	Trump	Donald	J.	20368
11/8/2016	REP	Republican	PRE	President of the United States	DES	Desoto			15	15	Trump	Donald	J.	6778
11/8/2016	REP	Republican	PRE	President of the United States	DIX	Dixie			10	10	Trump	Donald	J.	5822
11/8/2016	REP	Republican	PRE	President of the United States	DUV	Duval			199	199	Trump	Donald	J.	211672
11/8/2016	REP	Republican	PRE	President of the United States	ESC	Escambia			79	79	Trump	Donald	J.	88808
11/8/2016	REP	Republican	PRE	President of the United States	FLA	Flagler			24	24	Trump	Donald	J.	33850
11/8/2016	REP	Republican	PRE	President of the United States	FRA	Franklin			8	8	Trump	Donald	J.	4125
11/8/2016	REP	Republican	PRE	President of the United States	GAD	Gadsden			25	25	Trump	Donald	J.	6728
11/8/2016	REP	Republican	PRE	President of the United States	GIL	Gilchrist			10	10	Trump	Donald	J.	6740
11/8/2016	REP	Republican	PRE	President of the United States	GLA	Glades			13	13	Trump	Donald	J.	2996
11/8/2016	REP	Republican	PRE	President of the United States	GUL	Gulf			9	9	Trump	Donald	J.	5329
11/8/2016	REP	Republican	PRE	President of the United States	HAM	Hamilton			8	8	Trump	Donald	J.	3443
11/8/2016	REP	Republican	PRE	President of the United States	HAR	Hardee			12	12	Trump	Donald	J.	5242
