




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Bulloch                       39983                         7438                          522                           6601                          58                            14619                         3284                          513                           4143                          68                            8008                          300                           24                            183                           11                            518                           23145                         
Burke                         14449                         2236                          243                           1823                          0                             4302                          2119                          706                           1269                          2                             4096                          72                            8                             37                            0                             117                           8515                          
Butts                         15280                         1392                          196                           4594                          0                             6182                          719                           168                           1456                          0                             2343                          55                            10                            94                            0                             159                           8684                          
Calhoun                       2982                          423                           36                            333                           0                             792                           647                           142                           254                           0                             1043                          9                             2                             6                             0                             17                            1852                          
Camden                        31632                         5090                          508                           5249                          4                             10851                         2211                          649                           2560                          4                             5424                          308                           22                            154                           0                             484                           16759                         
Candler                       5572                          662                           57                            1769                          0                             2488                          368                           59                            494                           1                             922                           19                            0                             23                            0                             42                            3452                          
Carroll                       72908                         14220                         817                           13555                         67                            28659                         4899                          668                           5868                          30                            11465                         673                           16                            438                           5                             1132                          41256                         
Catoosa                       40513                         7196                          350                           10671                         25                            18242                         1773                          163                           2512                          8                             4456                          367                           20                            258                           0                             645                           23343                         
Charlton                      6072                          1188                          96                            1152                          8                             2444                          375                           62                            343                           0                             780                           32                            2                             22                            0                             56                            3280                          
Chatham                       188315                        28595                         1614                          11331                         60                            41600                         32683                         4341                          19895                         136                           57055                         2037                          114                           550                           6                             2707                          101362                        
Chattahoochee                 3132                          317                           17                            234                           2                             570                           227                           17                            229                           1                             474                           14                            1                             7                             0                             22                            1066                          
Chattooga                     11099                         2812                          140                           2623                          5                             5580                          733                           83                            673                           1                             1490                          84                            1                             68                            1                             154                           7224                          
Cherokee                      165612                        36753                         3099                          35160                         79                            75091                         12196                         1986                          11651                         28                            25861                         2499                          139                           1193                          4                             3835                          104787                        
Clarke                        70597                         6630                          889                           4797                          4                             12320                         12102                         2023                          14260                         30                            28415                         938                           56                            513                           6                             1513                          42248                         
Clay                          1856                          155                           39                            325                           0                             519                           284                           97                            231                           0                             612                           9                             2                             4                             0                             15                            1146                          
Clayton                       169574                        4435                          747                           5698                          25                            10905                         32160                         4916                          40447                         325                           77848                         964                           103                           796                           10                            1873                          90626                         
Clinch                        3884                          616                           52                            973                           2                             1643                          250                           56                            192                           2                             500                           8                             1                             19                            0                             28                            2171                          
Cobb                          486696                        84535                         9771                          44053                         358                           138717                        77845                         15008                         63642                         977                           157472                        7430                          644                           2549                          63                            10686                         306875                        
Coffee                        21900                         2827                          178                           5603                          10                            8618                          1492                          205                           1746                          9                             3452                          73                            5                             71                            0                             149                           12219                         
Colquitt                      21948                         4610                          251                           4551                          5                             9417                          1404                          250                           1257                          5                             2916                          101                           9                             84                            0                             194                           12527                         
Columbia                      95779                         19442                         1312                          19733                         26                            40513                         7996                          1530                          9079                          17                            18622                         1030                          57                            552                           0                             1639                          60774                         
Cook                          9423                          1571                          111                           2317                          0                             3999                          810                           127                           644                           0                             1581                          58                            4                             47                            0                             109                           5689                          
Coweta                        91585                         20733                         1476                          17473                         4                             39686                         7342                          1248                          7338                          10                            15938                         1010                          66                            509                           1                             1586                          57210                         
Crawford                      7459                          1547                          123                           1811                          2                             3483                          502                           101                           643                           1                             1247                          37                            6                             38                            0                             81                            4811                          
Crisp                         11674                         1354                          189                           2784                          16                            4343                          937                           159                           1246                          7                             2349                          57                            3                             53                            0                             113                           6805                          
Dade                          10496                         2162                          79                            2014                          12                            4267                          395                           41                            407                           0                             843                           119                           2                             51                            0                             172                           5282                          
Dawson                        18278                         3362                          312                           5979                          10                            9663                          500                           112                           821                           0                             1433                          173                           12                            134                           1                             320                           11416                         
Decatur                       15201                         2370                          184                           2772                          50                            5376                          1695                          351                           1347                          47                            3440                          65                            8                             41                            1                             115                           8931                          
DeKalb                        494731                        27837                         2943                          20218                         155                           51153                         103911                        15945                         124702                        1517                          246075                        5031                          374                           3167                          43                            8615                          305843                        
Dodge                         11055                         2230                          257                           2488                          7                             4982                          741                           171                           746                           3                             1661                          62                            7                             45                            0                             114                           6757                          
Dooly                         5669                          743                           59                            1152                          1                             1955                          881                           130                           649                           0                             1660                          19                            1                             16                            0                             36                            3651                          
Dougherty                     57817                         6031                          351                           2768                          8                             9158                          11207                         1539                          8223                          113                           21082                         325                           27                            115                           3                             470                           30710                         
Douglas                       89305                         8556                          989                           11961                         13                            21519                         12137                         2160                          17362                         43                            31702                         764                           56                            564                           2                             1386                          54607                         
Early                         6992                          1036                          221                           978                           4                             2239                          975                           245                           546                           0                             1766                          27                            3                             17                            0                             47                            4052                          
Echols                        1929                          277                           28                            662                           0                             967                           44                            7                             74                            0                             125                           7                             0                             9                             0                             16                            1108                          
Effingham                     38132                         8822                          406                           8362                          3                             17593                         2494                          311                           2047                          2                             4854                          397                           19                            147                           1                             564                           23011                         
Elbert                        11123                         2078                          234                           2606                          29                            4947                          799                           321                           981                           37                            2138                          59                            6                             52                            1                             118                           7203                          
Emanuel                       12343                         2503                          222                           2491                          5                             5221                          1174                          155                           806                           1                             2136                          57                            5                             30                            0                             92                            7449                          
Evans                         5569                          637                           116                           1544                          0                             2297                          380                           79                            509                           0                             968                           30                            2                             27                            0                             59                            3324                          
Fannin                        17200                         4330                          458                           4153                          12                            8953                          620                           174                           980                           2                             1776                          126                           14                            112                           1                             253                           10982                         
Fayette                       83763                         13938                         1080                          17054                         16                            32088                         8875                          1460                          13001                         17                            23353                         949                           63                            630                           2                             1644                          57085                         
Floyd                         52469                         10654                         645                           9469                          81                            20849                         3726                          580                           3703                          29                            8038                          510                           19                            278                           1                             808                           29695                         
Forsyth                       143680                        24582                         2411                          37792                         38                            64823                         9355                          1796                          12796                         18                            23965                         1636                          127                           1356                          3                             3122                          91910                         
Franklin                      13069                         3508                          288                           3020                          0                             6816                          574                           86                            383                           0                             1043                          94                            9                             55                            0                             158                           8017                          
Fulton                        703177                        51610                         4779                          59777                         220                           116386                        115682                        12205                         155195                        1608                          284690                        7123                          381                           5251                          72                            12827                         413903                        
Gilmer                        19069                         4610                          408                           5035                          30                            10083                         737                           136                           1010                          6                             1889                          154                           9                             132                           0                             295                           12267                         
Glascock                      1837                          462                           69                            597                           1                             1129                          66                            11                            26                            0                             103                           6                             0                             2                             0                             8                             1240                          
Glynn                         54274                         8286                          776                           10999                         78                            20139                         4186                          987                           5875                          56                            11104                         395                           32                            325                           4                             756                           31999                         
Gordon                        30086                         7217                          357                           6457                          22                            14053                         1424                          165                           1337                          6                             2932                          268                           11                            139                           3                             421                           17406                         
Grady                         13546                         2769                          156                           2564                          7                             5496                          1174                          235                           1194                          7                             2610                          60                            3                             33                            0                             96                            8202                          
Greene                        12081                         1529                          211                           4054                          2                             5796                          1120                          395                           1407                          4                             2926                          65                            8                             59                            0                             132                           8854                          
Gwinnett                      525568                        68633                         7639                          54686                         665                           131623                        77586                         11955                         77470                         1402                          168413                        6117                          539                           3272                          98                            10026                         310062                        
Habersham                     24707                         3627                          621                           8300                          4                             12552                         709                           198                           1370                          0                             2277                          172                           23                            164                           1                             360                           15189                         
Hall                          114817                        28769                         2022                          17543                         82                            48416                         8540                          1359                          5965                          34                            15898                         1350                          72                            486                           3                             1911                          66225                         
Hancock                       5601                          383                           53                            445                           0                             881                           1037                          418                           997                           8                             2460                          21                            6                             24                            0                             51                            3392                          
Haralson                      17923                         5068                          286                           3615                          0                             8969                          672                           100                           450                           0                             1222                          160                           5                             75                            0                             240                           10431                         
Harris                        22877                         5855                          401                           5299                          11                            11566                         1744                          304                           1763                          3                             3814                          202                           13                            84                            0                             299                           15679                         
Hart                          14706                         2859                          218                           3973                          3                             7053                          867                           207                           1031                          1                             2106                          103                           9                             61                            0                             173                           9332                          
Heard                         6678                          1919                          195                           1142                          3                             3259                          325                           77                            238                           0                             640                           48                            3                             20                            1                             72                            3971                          
Henry                         154376                        15048                         1460                          23945                         52                            40505                         18036                         3354                          32754                         133                           54277                         1077                          116                           1188                          2                             2383                          97165                         
Houston                       93924                         11884                         1205                          20623                         33                            33745                         8196                          1856                          13195                         38                            23285                         691                           75                            553                           1                             1320                          58350                         
Irwin                         5277                          959                           63                            1571                          8                             2601                          358                           69                            407                           0                             834                           29                            0                             21                            0                             50                            3485                          
Jackson                       42272                         8442                          678                           12137                         10                            21267                         1926                          309                           2277                          0                             4512                          403                           21                            304                           0                             728                           26507                         
Jasper                        9030                          1826                          238                           2198                          25                            4287                          550                           172                           685                           10                            1417                          74                            8                             44                            2                             128                           5832                          
Jeff Davis                    7556                          1446                          154                           2206                          0                             3806                          347                           65                            363                           0                             775                           37                            4                             28                            0                             69                            4650                          
Jefferson                     10349                         1538                          141                           1400                          2                             3081                          1620                          444                           1251                          9                             3324                          45                            7                             30                            0                             82                            6487                          
Jenkins                       4677                          644                           71                            1078                          11                            1804                          415                           110                           412                           5                             942                           22                            3                             21                            0                             46                            2792                          
Johnson                       5060                          855                           134                           1434                          0                             2423                          351                           95                            435                           0                             881                           19                            2                             23                            0                             44                            3348                          
Jones                         18194                         3106                          364                           4739                          6                             8215                          1378                          393                           2017                          3                             3791                          102                           10                            73                            0                             185                           12191                         
Lamar                         11288                         2166                          179                           2632                          9                             4986                          821                           219                           1047                          1                             2088                          73                            3                             58                            1                             135                           7209                          
Lanier                        5034                          528                           59                            1215                          2                             1804                          306                           45                            367                           0                             718                           29                            1                             24                            0                             54                            2576                          
Laurens                       28805                         6072                          652                           5357                          2                             12083                         2710                          595                           2791                          10                            6106                          114                           9                             97                            1                             221                           18410                         
Lee                           21012                         5440                          248                           4177                          4                             9869                          1656                          220                           1357                          2                             3235                          162                           6                             68                            0                             236                           13340                         
Liberty                       31051                         2666                          176                           2602                          2                             5446                          3278                          744                           5270                          6                             9298                          212                           21                            147                           1                             381                           15125                         
Lincoln                       5748                          1177                          114                           1397                          0                             2688                          424                           233                           469                           2                             1128                          30                            2                             29                            0                             61                            3877                          
Long                          7606                          1212                          46                            1228                          8                             2494                          533                           120                           643                           2                             1298                          50                            2                             45                            0                             97                            3889                          
Lowndes                       67459                         6863                          620                           12425                         213                           20121                         4598                          1207                          8222                          289                           14316                         367                           28                            296                           19                            710                           35147                         
Lumpkin                       19567                         2825                          288                           5770                          5                             8888                          626                           164                           1298                          1                             2089                          178                           9                             198                           1                             386                           11363                         
Macon                         6569                          474                           51                            998                           0                             1523                          1070                          265                           1116                          0                             2451                          21                            1                             18                            0                             40                            4014                          
Madison                       18018                         4408                          328                           4065                          2                             8803                          1226                          181                           978                           0                             2385                          162                           11                            85                            0                             258                           11446                         
Marion                        4468                          972                           60                            737                           0                             1769                          423                           176                           421                           1                             1021                          28                            2                             24                            0                             54                            2844                          
McDuffie                      13587                         1684                          371                           3133                          0                             5188                          1078                          474                           1758                          0                             3310                          50                            15                            58                            0                             123                           8621                          
McIntosh                      8962                          1166                          183                           1803                          0                             3152                          736                           250                           1041                          0                             2027                          59                            2                             30                            0                             91                            5270                          
Meriwether                    13710                         3038                          167                           1720                          3                             4928                          2029                          305                           1021                          7                             3362                          112                           8                             36                            0                             156                           8446                          
